chunk_id,source_id,chapter,section,topic,keywords,chunk_text
CH0001,TXT163,28,28.7 Patterns of Inheritance,development_genetics,"chapter, students, your, body, book, chapters","28.7 Patterns of Inheritance

Key Terms

Chapter Review

Interactive Link Questions

Review Questions

Critical Thinking Questions

References

Index

PREFACE
About OpenStax
OpenStax is part of Rice University, which is a 501(c)(3)
nonprofit charitable corporation. As an educational
initiative, it's our mission to transform learning so that
education works for every student. Through our
partnerships with philanthropic foundations and our
alliance with other educational resource companies,
we're breaking down the most common barriers to
learning. Because we believe that everyone should and
can have access to knowledge.
About OpenStax Resources
Customization
Anatomy and Physiology 2e is licensed under a
Creative Commons Attribution 4.0 International (CC
BY) license, which means that you can distribute,
remix, and build upon the content, as long as you
provide attribution to OpenStax and its content
contributors.
Because our books are openly licensed, you are free to
use the entire book or select the sections that are most
relevant to the needs of your course. Feel free to remix
the content by assigning your students certain chapters
and sections in your syllabus, in the order that you
prefer. You can even provide a direct link in your
syllabus to the sections in the web view of your book.
Instructors also have the option of creating a
customized version of their OpenStax book. The
custom version can be made available to students in
low-cost print or digital form through their campus
bookstore. Visit your book page on OpenStax.org for
more information.
Errata
All OpenStax textbooks undergo a rigorous review
process. However, like any professional-grade
textbook, errors sometimes occur. Since our books are
web based, we can make updates periodically when
deemed pedagogically necessary. If you have a
correction to suggest, submit it through the link on your
book page on OpenStax.org. Subject matter experts
review all errata suggestions. OpenStax is committed
to remaining transparent about all updates, so you will
also find a list of past errata changes on your book
page on OpenStax.org.
Format
You can access this textbook for free in web view or
PDF through OpenStax.org, and for a low-cost in print.
About Anatomy and Physiology 2e
Coverage and Scope
The units of Anatomy and Physiology 2e adhere to the
scope and sequence followed by most two-semester
courses. The development choices for this textbook
were guided by hundreds of faculty who are deeply
involved in teaching this course, as well as instructional
designers, academic success experts, and educational
researchers who have supported A&P educators and
students. These choices led to innovations in art,
terminology, career orientation, practical applications,
and multimedia-based learning, all with a goal of
increasing relevance to students. We strove to make
the discipline engaging and relevant to students, so
that they can draw from it a working knowledge that
will enrich their future studies and support them in
their careers.
Unit 1: Levels of Organization
Chapters 1–4 provide students with a basic
understanding of human anatomy and physiology,
including its language, the levels of organization, and
the basics of chemistry and cell biology. These
chapters provide a foundation for the further study of
the body. They also focus particularly on how the
body’s regions, important chemicals, and cells
maintain homeostasis.
Chapter 1 An Introduction to the Human Body
Chapter 2 The Chemical Level of Organization
Chapter 3 The Cellular Level of Organization
Chapter 4 The Tissue Level of Organization
Unit 2: Support and Movement
In Chapters 5–11, students explore the skin, the
largest organ of the body, and examine the body’s
skeletal and muscular systems, following a traditional
sequence of topics. This unit is the first to walk
students through specific systems of the body, and as it
does so, it maintains a focus on homeostasis as well as
those diseases and conditions that can disrupt it.
Chapter 5 The Integumentary System
Chapter 6 Bone and Skeletal Tissue
Chapter 7 The Axial Skeleton
Chapter 8 The Appendicular Skeleton
Chapter 9 Joints
Chapter 10 Muscle Tissue
Chapter 11 The Muscular System
Unit 3: Regulation, Integration, and Control
Chapters 12–17 help students answer questions about
Preface"
CH0002,TXT163,28,28.7 Patterns of Inheritance,development_genetics,"chapter, system, nervous, body, changes, students","nervous and endocrine system control and regulation.
In a break with the traditional sequence of topics, the
special senses are integrated into the chapter on the
somatic nervous system. The chapter on the
neurological examination offers students a unique
approach to understanding nervous system function
using five simple but powerful diagnostic tests.
Chapter 12 Introduction to the Nervous System
Chapter 13 The Anatomy of the Nervous System
Chapter 14 The Somatic Nervous System
Chapter 15 The Autonomic Nervous System
Chapter 16 The Neurological Exam
Chapter 17 The Endocrine System
Unit 4: Fluids and Transport
In Chapters 18–21, students examine the principal
means of transport for materials needed to support the
human body, regulate its internal environment, and
provide protection.
Chapter 18 Blood
Chapter 19 The Cardiovascular System: The Heart
Chapter 20 The Cardiovascular System: Blood Vessels
and Circulation
Chapter 21 The Lymphatic System and Immunity
Unit 5: Energy, Maintenance, and Environmental
Exchange
In Chapters 22–26, students discover the interaction
between body systems and the outside environment
for the exchange of materials, the capture of energy,
the release of waste, and the overall maintenance of
the internal systems that regulate the exchange. The
explanations and illustrations are particularly focused
on how structure relates to function.
Chapter 22 The Respiratory System
Chapter 23 The Digestive System
Chapter 24 Nutrition and Metabolism
Chapter 25 The Urinary System
Chapter 26 Fluid, Electrolyte, and Acid–Base Balance
Unit 6: Human Development and the Continuity of
Life
The closing chapters examine the male and female
reproductive systems, describe the process of human
development and the different stages of pregnancy,
and end with a review of the mechanisms of
inheritance.
Chapter 27 The Reproductive System
Chapter 28 Development and Genetic Inheritance
Changes to the Second Edition
The Anatomy and Physiology 2e revision focuses on
inclusive and equitable instruction, scientific accuracy,
and enhanced instructor and student support. The
improvements have been informed by extensive
feedback from adopting faculty, curricular innovators,
and equity experts.
The revision includes the following core changes:
•
In explanations of endocrine function,
reproduction, development, inheritance, and
related topics, the second edition is clearer and
more accurate in differentiations related to sex,
and eliminates incorrect equivalencies and
generalizations regarding sex and gender.
OpenStax thanks Sam Long and River Suh,
founders of Gender-Inclusive Biology, for their
extensive guidance and support
•
Many of the illustrations have been improved to be
more representative of diverse populations. We
have also added photos of many conditions,
symptoms, and disorders that present differently
depending on skin tone. (Note that many of the
illustration changes were made prior to the second
edition revision.)
•
In discussions and illustrations of genetics and
inheritance, the text is clearer in its terminology
and explanations related to parenting and parental
roles.
•
Several research references, data, and
terminology have been improved to improve
representation and currency.
These improvements are designed to create welcoming
and inclusive learning experiences and promote
scientifically accurate practices that students will
encounter in their studies and careers. The additions
and changes were made in a manner designed to
enrich and support all users while maintaining the
general approach of the text. Because OpenStax and
our authors are aware of the difficulties posed by
reorganization and renumbering, the extensive text and
illustration changes have been implemented within the
existing structure and organization of the book. A
detailed transition guide will be available within the
book’s Instructor Resources at OpenStax.org.
Pedagogical Foundation and Features
Anatomy and Physiology 2e is designed to promote
scientific literacy. Throughout the text, you will find
features that engage the students by taking selected
topics a step further.
•
Homeostatic Imbalances discusses the effects
and results of imbalances in the body.
•
Disorders showcases a disorder that is relevant to
the body system at hand. This feature may focus
on a specific disorder or a set of related disorders.
•
Diseases showcases a disease that is relevant to
the body system at hand."
CH0003,TXT163,28,28.7 Patterns of Inheritance,development_genetics,"students, micrograph, illustration, important, most, links","Preface

•
Aging explores the effect aging has on a body’s
system and specific disorders that manifest over
time.
•
Career Connections presents information on the
various careers often pursued by allied health
students, such as medical technician, medical
examiner, and neurophysiologist. Students are
introduced to the educational requirements for
and day-to-day responsibilities in these careers.
•
Everyday Connections tie anatomical and
physiological concepts to emerging issues and
discuss these in terms of everyday life. Topics
include “Anabolic Steroids” and “The Effect of
Second-Hand Tobacco Smoke.”
•
Interactive Links direct students to online
exercises, simulations, animations, and videos to
add a fuller context to core content and help
improve understanding of the material. Many
features include links to the University of
Michigan’s interactive WebScopes, which allow
students to zoom in on micrographs in the
collection. These resources were vetted by
reviewers and other subject matter experts to
ensure that they are effective and accurate. We
strongly urge students to explore these links,
whether viewing a video or inputting data into a
simulation, to gain the fullest experience and to
learn how to search for information independently.
Dynamic, Learner-Centered Art
Our unique approach to visuals is designed to
emphasize only the components most important in any
given illustration. The art style is particularly aimed at
focusing student learning through a powerful blend of
traditional depictions and instructional innovations.
Much of the art in this book consists of black line
illustrations. The strongest line is used to highlight the
most important structures, and shading is used to
show dimension and shape. Color is used sparingly to
highlight and clarify the primary anatomical or
functional point of the illustration. This technique is
intended to draw students’ attention to the critical
learning point in the illustration, without distraction
from excessive gradients, shadows, and highlights. Full
color is used when the structure or process requires it
(for example, muscle diagrams and cardiovascular
system illustrations).
By highlighting the most important portions of the
illustration, the artwork helps students focus on the
most important points without overwhelming them.
Micrographs
Micrograph magnifications have been calculated based
on the objective provided with the image. If a
micrograph was recorded at 40×, and the image was
magnified an additional 2×, we calculated the final
magnification of the micrograph to be 80×.
Please note that, when viewing the textbook
electronically, the micrograph magnification provided
in the text does not take into account the size and
magnification of the screen on your electronic device.
There may be some variation.
These glands secrete oils that lubricate and protect the
skin. LM × 400. (Micrograph provided by the Regents of
University of Michigan Medical School © 2012)
Preface"
CH0004,TXT163,28,28.7 Patterns of Inheritance,development_genetics,"college, community, university, resources, state, hubs","Additional Resources
Student and Instructor Resources
We’ve compiled additional resources for both students
and instructors, including Getting Started Guides, an
instructor solution guide, a curated video guide, and
several types of PowerPoint slides and image
resources. Instructor resources require a verified
instructor account, which you can apply for when you
log in or create your account on OpenStax.org. Student
resources include guided lecture notes, a student
solutions manual, and a pronunciation guide.
Community Hubs
OpenStax partners with the Institute for the Study of
Knowledge Management in Education (ISKME) to offer
Community Hubs on OER Commons—a platform for
instructors to share community-created resources that
support OpenStax books, free of charge. Through our
Community Hubs, instructors can upload their own
materials or download resources to use in their own
courses, including additional ancillaries, teaching
material, multimedia, and relevant course content. We
encourage instructors to join the hubs for the subjects
most relevant to your teaching and research as an
opportunity both to enrich your courses and to engage
with other faculty. To reach the Community Hubs, visit
www.oercommons.org/hubs/openstax.
Technology Partners
As allies in making high-quality learning materials
accessible, our technology partners offer optional low-
cost tools that are integrated with OpenStax books. To
access the technology options for your text, visit your
book page on OpenStax.org.
About the Authors
Senior Contributing Authors
J. Gordon Betts, Tyler Junior College
Peter Desaix, University of North Carolina at Chapel Hill
Eddie Johnson, Central Oregon Community College
Jody E. Johnson, Arapahoe Community College
Oksana Korol, Aims Community College
Dean Kruse, Portland Community College
Brandon Poe, Springfield Technical Community College
James A. Wise, Hampton University
Mark Womble, Youngstown State University
Kelly A. Young, California State University, Long Beach
Advisor
Robin J. Heyden
Contributing Authors
Kim Aaronson, Aquarius Institute; Triton College
Lopamudra Agarwal, Augusta Technical College
Gary Allen, Dalhousie University
Robert Allison, McLennan Community College
Heather Armbruster, Southern Union State Community
College
Timothy Ballard, University of North Carolina
Wilmington
Matthew Barlow, Eastern New Mexico University
William Blaker, Furman University
Julie Bowers, East Tennessee State University
Emily Bradshaw, Florida Southern College
Nishi Bryska, University of North Carolina, Charlotte
Susan Caley Opsal, Illinois Valley Community College
Boyd Campbell, Southwest College of Naturopathic
Medicine and Health Sciences
Ann Caplea, Walsh University
Marnie Chapman, University of Alaska, Sitka
Barbara Christie-Pope, Cornell College
Kenneth Crane, Texarkana College
Maurice Culver, Florida State College at Jacksonville
Heather Cushman, Tacoma Community College
Noelle Cutter, Molloy College
Lynnette Danzl-Tauer, Rock Valley College
Jane Davis, Aurora University
AnnMarie DelliPizzi, Dominican College
Susan Dentel, Washtenaw Community College
Pamela Dobbins, Shelton State Community College
Patty Dolan, Pacific Lutheran University
Sondra Dubowsky, McLennan Community College
Peter Dukehart, Three Rivers Community College
Ellen DuPré, Central College
Elizabeth DuPriest, Warner Pacific College
Pam Elf, University of Minnesota
Sharon Ellerton, Queensborough Community College
Carla Endres, Utah State University - College of Eastern
Utah: San Juan Campus
Myriam Feldman, Lake Washington Institute of
Technology; Cascadia Community College
Greg Fitch, Avila University
Lynn Gargan, Tarant County College
Michael Giangrande, Oakland Community College
Chaya Gopalan, St. Louis College of Pharmacy
Victor Greco, Chattahoochee Technical College
Susanna Heinze, Skagit Valley College
Ann Henninger, Wartburg College
Dale Horeth, Tidewater Community College
Michael Hortsch, University of Michigan
Rosemary Hubbard, Marymount University
Mark Hubley, Prince George's Community College
Branko Jablanovic, College of Lake County
Norman Johnson, University of Massachusetts Amherst
Mark Jonasson, North Arkansas College
Jeff Keyte, College of Saint Mary
William Kleinelp, Middlesex County College"
CH0005,TXT163,28,28.7 Patterns of Inheritance,development_genetics,"college, university, community, state, county, david","Preface

Leigh Kleinert, Grand Rapids Community College
Brenda Leady, University of Toledo
John Lepri, University of North Carolina, Greensboro
Sarah Leupen, University of Maryland, Baltimore
County
Lihua Liang, Johns Hopkins University
Robert Mallet, University of North Texas Health Science
Center
Bruce Maring, Daytona State College
Elisabeth Martin, College of Lake County
Natalie Maxwell, Carl Albert State College, Sallisaw
Julie May, William Carey University
Debra McLaughlin, University of Maryland University
College
Nicholas Mitchell, St. Bonaventure University
Shobhana Natarajan, Brookhaven College
Phillip Nicotera, St. Petersburg College
Mary Jane Niles, University of San Francisco
Ikemefuna Nwosu, Parkland College; Lake Land
College
Betsy Ott, Tyler Junior College
Ivan Paul, John Wood Community College
Aaron Payette, College of Southern Nevada
Scott Payne, Kentucky Wesleyan College
Cameron Perkins, South Georgia College
David Pfeiffer, University of Alaska, Anchorage
Thomas Pilat, Illinois Central College
Eileen Preston, Tarrant County College
Mike Pyle, Olivet Nazarene University
Robert Rawding, Gannon University
Jason Schreer, State University of New York at
Potsdam
Laird Sheldahl, Mt. Hood Community College
Brian Shmaefsky, Lone Star College System
Douglas Sizemore, Bevill State Community College
Susan Spencer, Mount Hood Community College
Cynthia Standley, University of Arizona
Robert Sullivan, Marist College
Eric Sun, Middle Georgia State College
Tom Swenson, Ithaca College
Kathleen Tallman, Azusa Pacific University
Rohinton Tarapore, University of Pennsylvania
Elizabeth Tattersall, Western Nevada College
Mark Thomas, University of Northern Colorado
Janis Thompson, Lorain County Community College
Rita Thrasher, Pensacola State College
David Van Wylen, St. Olaf College
Lynn Wandrey, Mott Community College
Margaret Weck, St. Louis College of Pharmacy
Kathleen Weiss, George Fox University
Neil Westergaard, Williston State College
David Wortham, West Georgia Technical College
Umesh Yadav, University of Texas Medical Branch
Tony Yates, Oklahoma Baptist University
Justin York, Glendale Community College
Cheri Zao, North Idaho College
Elena Zoubina, Bridgewater State University; Massasoit
Community College
Shobhana Natarajan, Alcon Laboratories, Inc.
Special Thanks
OpenStax wishes to thank the Regents of University of
Michigan Medical School for the use of their extensive
micrograph collection. Many of the UM micrographs
that appear in Anatomy and Physiology 2e are
interactive WebScopes, which students can explore by
zooming in and out.
Preface"
CH0006,TXT163,28,28.7 Patterns of Inheritance,development_genetics,"body, anatomy, human, physiology, your, chapter","Preface

INTRODUCTION
CHAPTER 1
An Introduction to the Human Body
CHAPTER OBJECTIVES
After studying this chapter, you will be able to:
•
Distinguish between anatomy and physiology, and identify several branches of each
•
Describe the structure of the body, from simplest to most complex, in terms of the six levels of organization
•
Identify the functional characteristics of human life
•
Identify the four requirements for human survival
•
Define homeostasis and explain its importance to normal human functioning
•
Use appropriate anatomical terminology to identify key body structures, body regions, and directions in the
body
•
Compare and contrast at least four medical imaging techniques in terms of their function and use in
medicine
Though you may approach a course in anatomy and physiology strictly as a requirement for your
field of study, the knowledge you gain in this course will serve you well in many aspects of your life. An
understanding of anatomy and physiology is not only fundamental to any career in the health professions, but it can
also benefit your own health. Familiarity with the human body can help you make healthful choices and prompt you
to take appropriate action when signs of illness arise. Your knowledge in this field will help you understand news
about nutrition, medications, medical devices, and procedures and help you understand genetic or infectious
diseases. At some point, everyone will have a problem with some aspect of their body and your knowledge can help
you to be a better parent, spouse, partner, friend, colleague, or caregiver.
This chapter begins with an overview of anatomy and physiology and a preview of the body regions and functions. It
then covers the characteristics of life and how the body works to maintain stable conditions. It introduces a set of
standard terms for body structures and for planes and positions in the body that will serve as a foundation for more
comprehensive information covered later in the text. It ends with examples of medical imaging used to see inside
the living body.
Figure 1.1
Blood Pressure A proficiency in anatomy and physiology is fundamental to any career in the health professions. (credit: Bryan
Mason/flickr)"
CH0007,TXT164,1,1.1 Overview of Anatomy and Physiology,anatomy_overview,"anatomy, structures, body, study, large, means","1.1 Overview of Anatomy and Physiology
LEARNING OBJECTIVES
By the end of this section, you will be able to:
•
Compare and contrast anatomy and physiology, including their specializations and methods of study
•
Discuss the fundamental relationship between anatomy and physiology
Human anatomy is the scientific study of the body’s structures. Some of these structures are very small and can
only be observed and analyzed with the assistance of a microscope. Other larger structures can readily be seen,
manipulated, measured, and weighed. The word “anatomy” comes from a Greek root that means “to cut apart.”
Human anatomy was first studied by observing the exterior of the body and observing the wounds of soldiers and
other injuries. Later, physicians were allowed to dissect bodies of the dead to augment their knowledge. When a
body is dissected, its structures are cut apart in order to observe their physical attributes and their relationships to
one another. Dissection is still used in medical schools, anatomy courses, and in pathology labs. In order to observe
structures in living people, however, a number of imaging techniques have been developed. These techniques allow
clinicians to visualize structures inside the living body such as a cancerous tumor or a fractured bone.
Like most scientific disciplines, anatomy has areas of specialization. Gross anatomy is the study of the larger
structures of the body, those visible without the aid of magnification (Figure 1.2 a). Macro- means “large,” thus,
gross anatomy is also referred to as macroscopic anatomy. In contrast, micro- means “small,” and microscopic
anatomy is the study of structures that can be observed only with the use of a microscope or other magnification
devices (Figure 1.2 b). Microscopic anatomy includes cytology, the study of cells and histology, the study of tissues.
As the technology of microscopes has advanced, anatomists have been able to observe smaller and smaller
structures of the body, from slices of large structures like the heart, to the three-dimensional structures of large
molecules in the body."
CH0008,TXT164,1,1.1 Overview of Anatomy and Physiology,anatomy_overview,"body, structures, anatomy, study, physiology, regional","Gross and Microscopic Anatomy
(a) Gross anatomy considers large structures such as the brain. (b) Microscopic anatomy
can deal with the same structures, though at a different scale. This is a micrograph of nerve cells from the brain. LM × 1600. (credit a:
“WriterHound”/Wikimedia Commons; credit b: Micrograph provided by the Regents of University of Michigan Medical School © 2012)
Anatomists take two general approaches to the study of the body’s structures: regional and systemic. Regional
anatomy is the study of the interrelationships of all of the structures in a specific body region, such as the abdomen.
Studying regional anatomy helps us appreciate the interrelationships of body structures, such as how muscles,
nerves, blood vessels, and other structures work together to serve a particular body region. In contrast, systemic
anatomy is the study of the structures that make up a discrete body system—that is, a group of structures that work
together to perform a unique body function. For example, a systemic anatomical study of the muscular system
would consider all of the skeletal muscles of the body.
Whereas anatomy is about structure, physiology is about function. Human physiology is the scientific study of the
chemistry and physics of the structures of the body and the ways in which they work together to support the
functions of life. Much of the study of physiology centers on the body’s tendency toward homeostasis. Homeostasis
is the state of steady internal conditions maintained by living things. The study of physiology certainly includes
observation, both with the naked eye and with microscopes, as well as manipulations and measurements. However,
current advances in physiology usually depend on carefully designed laboratory experiments that reveal the"
CH0009,TXT164,1,1.1 Overview of Anatomy and Physiology,anatomy_overview,"function, example, hand, level, nerves, your","functions of the many structures and chemical compounds that make up the human body.
Like anatomists, physiologists typically specialize in a particular branch of physiology. For example, neurophysiology
is the study of the brain, spinal cord, and nerves and how these work together to perform functions as complex and
diverse as vision, movement, and thinking. Physiologists may work from the organ level (exploring, for example,
what different parts of the brain do) to the molecular level (such as exploring how an electrochemical signal travels
along nerves).
Form is closely related to function in all living things. For example, the thin flap of your eyelid can snap down to clear
away dust particles and almost instantaneously slide back up to allow you to see again. At the microscopic level, the
arrangement and function of the nerves and muscles that serve the eyelid allow for its quick action and retreat. At a
smaller level of analysis, the function of these nerves and muscles likewise relies on the interactions of specific
molecules and ions. Even the three-dimensional structure of certain molecules is essential to their function.
Your study of anatomy and physiology will make more sense if you continually relate the form of the structures you
are studying to their function. In fact, it can be somewhat frustrating to attempt to study anatomy without an
understanding of the physiology that a body structure supports. Imagine, for example, trying to appreciate the
unique arrangement of the bones of the human hand if you had no conception of the function of the hand.
Fortunately, your understanding of how the human hand manipulates tools—from pens to cell phones—helps you
appreciate the unique alignment of the thumb in opposition to the four fingers, making your hand a structure that
allows you to pinch and grasp objects and type text messages."
CH0010,TXT165,1,1.2 Structural Organization of the Human Body,anatomy_overview,"body, human, organ, organization, structures, consider","1.2 Structural Organization of the Human Body
LEARNING OBJECTIVES
By the end of this section, you will be able to:
•
Describe the structure of the human body in terms of six levels of organization
•
List the eleven organ systems of the human body and identify at least one organ and one major function of each
Before you begin to study the different structures and functions of the human body, it is helpful to consider its basic
architecture; that is, how its smallest parts are assembled into larger structures. It is convenient to consider the
structures of the body in terms of fundamental levels of organization that increase in complexity: subatomic
particles, atoms, molecules, organelles, cells, tissues, organs, organ systems, organisms and biosphere (Figure 1.3)."
